rect,N,M,estimate,rel_error
wide,100,8,0.72,0.237705771003
wide,600,75,1.125,0.191084732808
wide,1100,102,0.834545454545,0.116431689117
wide,1600,153,0.860625,0.0888201794016
wide,2100,221,0.947142857143,0.00277990838345
wide,2600,314,1.08692307692,0.150771095698
wide,3100,313,0.908709677419,0.0379109125961
wide,3600,383,0.9575,0.013745450368
wide,4100,430,0.943902439024,0.000650858326615
wide,4600,493,0.964565217391,0.0212256926514
wide,5100,536,0.945882352941,0.00144535966322
wide,5600,593,0.953035714286,0.00901892365054
wide,6100,646,0.953114754098,0.00910260641865
wide,6600,684,0.932727272727,0.0124824760716
wide,7100,709,0.898732394366,0.0484742810579
wide,7600,814,0.963947368421,0.0205715500064
wide,8100,839,0.932222222222,0.0130171942457
wide,8600,874,0.914651162791,0.0316204125818
wide,9100,945,0.934615384615,0.0104834527438
wide,9600,992,0.93,0.0153699542117
wide,10100,1091,0.972178217822,0.0292858958368
wide,10600,1172,0.995094339623,0.0535481561143
wide,11100,1130,0.916216216216,0.0299634248119
wide,11600,1236,0.958965517241,0.0152970550008
wide,12100,1259,0.936446280992,0.00854500588048
wide,12600,1336,0.954285714286,0.0103423511314
wide,13100,1458,1.00167938931,0.0605200246929
wide,13600,1404,0.929117647059,0.0163041383159
wide,14100,1456,0.929361702128,0.0160457469679
wide,14600,1596,0.983835616438,0.0416280731848
wide,15100,1577,0.939933774834,0.00485264972777
wide,15600,1585,0.914423076923,0.031861896666
wide,16100,1748,0.977142857143,0.034542167925
wide,16600,1782,0.966144578313,0.0228978283685
wide,17100,1781,0.937368421053,0.00756869748222
wide,17600,1878,0.960340909091,0.0167532400973
wide,18100,1802,0.896022099448,0.0513437840792
wide,18600,1904,0.921290322581,0.024591255369
wide,19100,2028,0.955602094241,0.0117360578578
wide,19600,2078,0.954183673469,0.010234316235
wide,20100,2079,0.930895522388,0.0144218270612
wide,20600,2157,0.942378640777,0.00226416750769
wide,21100,2074,0.884644549763,0.0633896736134
wide,21600,2291,0.954583333333,0.0106574529126
wide,22100,2310,0.9407239819,0.00401602433036
wide,22600,2316,0.922300884956,0.0235213305543
wide,23100,2474,0.963896103896,0.0205172741015
wide,23600,2447,0.933177966102,0.0120053080738
wide,24100,2621,0.978796680498,0.0362931401463
wide,24600,2582,0.944634146341,0.000123830930496
wide,25100,2632,0.94374501992,0.000817524541292
wide,25600,2622,0.921796875,0.0240549470551
wide,26100,2668,0.92,0.0259573740589
wide,26600,2842,0.961578947368,0.0180640032004
wide,27100,2788,0.925904059041,0.0197064988724
wide,27600,2868,0.935217391304,0.00984608298711
wide,28100,3000,0.960854092527,0.0172965689467
wide,28600,3025,0.951923076923,0.00784092776095
wide,29100,3024,0.935257731959,0.00980337264259
wide,29600,3164,0.962027027027,0.0185384039475
wide,30100,3162,0.945448504983,0.000986026615321
wide,30600,3334,0.980588235294,0.038189934427
wide,31100,3265,0.944855305466,0.000357981381199
wide,31600,3215,0.915664556962,0.0305474896256
wide,32100,3311,0.928317757009,0.0171510154944
wide,32600,3501,0.966533742331,0.0233098526533
wide,33100,3462,0.941329305136,0.00337514320661
wide,33600,3445,0.922767857143,0.0230269274941
wide,34100,3569,0.941964809384,0.00270230817756
wide,34600,3533,0.918988439306,0.0270283558354
wide,35100,3727,0.955641025641,0.0117772761657
wide,35600,3746,0.94702247191,0.0026524514832
wide,36100,3897,0.971551246537,0.0286220950148
wide,36600,3843,0.945,0.000511175559052
wide,37100,3900,0.946091644205,0.0016669451111
wide,37600,3895,0.932313829787,0.0129202054705
wide,38100,4068,0.96094488189,0.0173926914571
wide,38600,4080,0.951295336788,0.00717631292399
wide,39100,4095,0.942583120205,0.00204767655235
wide,39600,4310,0.979545454545,0.0370858986675
wide,40100,4137,0.928503740648,0.0169541068073
wide,40600,4287,0.950320197044,0.00614389153686
wide,41100,4327,0.947518248175,0.00317735063006
wide,41600,4314,0.933317307692,0.0118577812817
