dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
random,100,standard_quicksort,8.688,770.000,5,1
random,100,standard_mergesort,5.406,611.000,5,1
random,100,string_quicksort,4.142,1646.000,5,1
random,100,string_mergesort_lcp,14.006,1629.000,5,1
random,100,msd_radix_sort,8.063,182.000,5,1
random,100,msd_radix_quick_sort,1.724,305.000,5,1
random,200,standard_quicksort,17.398,1906.000,5,1
random,200,standard_mergesort,12.236,1499.000,5,1
random,200,string_quicksort,9.357,3679.000,5,1
random,200,string_mergesort_lcp,33.971,3962.000,5,1
random,200,msd_radix_sort,14.182,391.000,5,1
random,200,msd_radix_quick_sort,4.156,878.000,5,1
random,300,standard_quicksort,27.474,3016.000,5,1
random,300,standard_mergesort,23.946,2517.000,5,1
random,300,string_quicksort,16.122,6064.000,5,1
random,300,string_mergesort_lcp,57.428,6608.000,5,1
random,300,msd_radix_sort,22.182,606.000,5,1
random,300,msd_radix_quick_sort,6.464,1531.000,5,1
random,400,standard_quicksort,38.984,4429.000,5,1
random,400,standard_mergesort,35.401,3676.000,5,1
random,400,string_quicksort,25.206,8296.000,5,1
random,400,string_mergesort_lcp,85.219,9624.000,5,1
random,400,msd_radix_sort,24.252,824.000,5,1
random,400,msd_radix_quick_sort,11.052,2389.000,5,1
random,500,standard_quicksort,82.774,5776.000,5,1
random,500,standard_mergesort,156.921,4889.000,5,1
random,500,string_quicksort,51.341,10618.000,5,1
random,500,string_mergesort_lcp,137.004,12745.000,5,1
random,500,msd_radix_sort,59.631,1047.000,5,1
random,500,msd_radix_quick_sort,17.799,3304.000,5,1
random,600,standard_quicksort,114.110,6977.000,5,1
random,600,standard_mergesort,87.577,6104.000,5,1
random,600,string_quicksort,55.718,13670.000,5,1
random,600,string_mergesort_lcp,140.282,15883.000,5,1
random,600,msd_radix_sort,30.237,1256.000,5,1
random,600,msd_radix_quick_sort,18.661,4317.000,5,1
random,700,standard_quicksort,86.378,8433.000,5,1
random,700,standard_mergesort,85.819,7478.000,5,1
random,700,string_quicksort,56.280,15868.000,5,1
random,700,string_mergesort_lcp,190.991,19430.000,5,1
random,700,msd_radix_sort,38.486,1476.000,5,1
random,700,msd_radix_quick_sort,26.641,5377.000,5,1
random,800,standard_quicksort,115.521,10691.000,5,1
